Date,Sentiment Score
2023-01-13,0.12394117647058825
2023-01-14,0.10596
2023-01-15,0.34628333333333333
2023-01-16,0.17789285714285713
2023-01-17,0.15664999999999998
2023-01-18,0.22752258064516132
2023-01-19,0.2374887323943662
2023-01-20,0.15246315789473683
2023-01-21,0.09261739130434782
2023-01-22,0.05693684210526316
2023-01-23,0.08286610169491523
2023-01-24,0.13249
2023-01-25,0.18585000000000002
2023-01-26,0.16769180327868852
2023-01-27,0.17222911392405063
2023-01-28,0.15186153846153844
2023-01-29,0.07775217391304348
2023-01-30,0.13788545454545456
2023-01-31,0.19396086956521735
2023-02-01,0.23778076923076924
2023-02-02,0.1572040816326531
2023-02-03,0.07853529411764705
2023-02-04,0.1274913043478261
2023-02-05,0.22502083333333334
2023-02-06,0.22111363636363637
2023-02-07,0.06486190476190476
2023-02-08,0.3257888888888889
2023-02-09,0.02340909090909092
2023-02-10,0.19844615384615383
2023-02-11,0.27706875000000003
2023-02-12,0.21295238095238092
2023-02-13,0.14722830188679245
2023-02-14,0.1458875
2023-02-15,0.051708333333333335
2023-02-16,0.15164
2023-02-17,0.07430999999999999
2023-02-18,0.2487857142857143
2023-02-19,0.095625
2023-02-20,0.12273400000000001
2023-02-21,0.12943076923076924
2023-02-22,0.16517826086956525
2023-02-23,0.2686833333333334
2023-02-24,0.27818947368421054
2023-02-25,0.1061
2023-02-26,0.20280666666666664
2023-02-27,0.11437142857142857
2023-02-28,0.05722432432432433
2023-03-01,0.18344285714285716
2023-03-02,0.2222166666666667
2023-03-03,0.26100666666666666
2023-03-04,0.12414642857142857
2023-03-05,0.08868636363636363
2023-03-06,0.15918333333333332
2023-03-07,0.11589444444444445
2023-03-08,0.12943240740740738
2023-03-09,0.15971604938271605
2023-03-10,0.20613617021276592
2023-03-11,0.140269696969697
2023-03-12,0.17007058823529408
2023-03-13,0.22069473684210528
2023-03-14,0.11774655172413794
2023-03-15,0.16794827586206895
2023-03-16,0.15436170212765957
2023-03-17,0.16069523809523809
